n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.0125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
2,0.025,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
3,0.0375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
4,0.05,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
5,0.0625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
6,0.075,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
7,0.0875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
8,0.1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
9,0.1125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
10,0.125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
11,0.1375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
12,0.15,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
13,0.1625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
14,0.175,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
15,0.1875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
16,0.2,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
17,0.2125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
18,0.225,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
19,0.2375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
20,0.25,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
21,0.2625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
22,0.275,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
23,0.2875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
24,0.3,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
25,0.3125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
26,0.325,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
27,0.3375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
28,0.35,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
29,0.3625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
30,0.375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
31,0.3875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
32,0.4,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
33,0.4125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
34,0.425,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
35,0.4375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
36,0.45,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
37,0.4625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
38,0.475,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
39,0.4875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
40,0.5,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
41,0.5125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
42,0.525,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
43,0.5375,2.672764710e-51,4.009147065e-51,nan,nan,nan,nan
44,0.55,8.619666190e-50,8.552847072e-50,nan,nan,nan,nan
45,0.5625,1.709233032e-48,2.052683297e-48,nan,nan,nan,nan
46,0.575,2.839612047e-47,2.189528851e-47,nan,nan,nan,nan
47,0.5875,3.448300800e-46,3.503246161e-46,nan,nan,nan,nan
48,0.6,3.607270832e-45,4.203895393e-45,nan,nan,nan,nan
49,0.6125,4.063729264e-44,4.484155086e-44,nan,nan,nan,nan
50,0.625,2.705272592e-43,3.587324069e-43,nan,nan,nan,nan
51,0.6375,2.061939552e-42,2.869859255e-42,nan,nan,nan,nan
52,0.65,1.298715240e-41,1.434929627e-41,nan,nan,nan,nan
53,0.6625,7.138143795e-41,9.183549616e-41,nan,nan,nan,nan
54,0.675,3.638402161e-40,3.673419846e-40,nan,nan,nan,nan
55,0.6875,1.836492721e-39,2.204051908e-39,nan,nan,nan,nan
56,0.7,9.304186613e-39,1.175494351e-38,nan,nan,nan,nan
57,0.7125,3.483112315e-38,4.701977403e-38,nan,nan,nan,nan
58,0.725,1.402382242e-37,2.350988702e-37,nan,nan,nan,nan
59,0.7375,5.703959670e-37,7.523163845e-37,nan,nan,nan,nan
60,0.75,1.965810631e-36,2.633107346e-36,nan,nan,nan,nan
61,0.7625,1.018961018e-35,1.354169492e-35,nan,nan,nan,nan
62,0.775,2.756494085e-35,3.611118646e-35,nan,nan,nan,nan
63,0.7875,8.092763426e-35,1.023150283e-34,nan,nan,nan,nan
64,0.8,2.079097664e-34,3.370377403e-34,nan,nan,nan,nan
65,0.8125,7.421487858e-34,1.059261469e-33,nan,nan,nan,nan
66,0.825,1.640902123e-33,2.888894917e-33,nan,nan,nan,nan
67,0.8375,4.194095557e-33,6.933347800e-33,nan,nan,nan,nan
68,0.85,1.061034030e-32,1.848892747e-32,nan,nan,nan,nan
69,0.8625,2.624493349e-32,4.930380658e-32,nan,nan,nan,nan
70,0.875,5.532161138e-32,1.047705890e-31,nan,nan,nan,nan
71,0.8875,1.174577791e-31,2.357338252e-31,nan,nan,nan,nan
72,0.9,2.570294731e-31,5.423418723e-31,nan,nan,nan,nan
73,0.9125,6.096129142e-31,1.109335648e-30,nan,nan,nan,nan
74,0.925,1.030855839e-30,2.267975103e-30,nan,nan,nan,nan
75,0.9375,2.281109663e-30,4.141519752e-30,nan,nan,nan,nan
76,0.95,3.420689353e-30,8.283039505e-30,nan,nan,nan,nan
77,0.9625,5.907363052e-30,1.518557243e-29,nan,nan,nan,nan
78,0.975,1.068336296e-29,2.682127078e-29,nan,nan,nan,nan
79,0.9875,2.145185531e-29,4.388038785e-29,nan,nan,nan,nan
80,1,3.565135160e-29,7.336406419e-29,nan,nan,nan,nan
81,1.0125,4.990524141e-29,1.167514140e-28,nan,nan,nan,nan
82,1.025,8.145967762e-29,1.735493991e-28,nan,nan,nan,nan
83,1.0375,1.350478257e-28,2.579575160e-28,nan,nan,nan,nan
84,1.05,1.823794800e-28,3.581428510e-28,nan,nan,nan,nan
85,1.0625,2.518536331e-28,5.001378139e-28,nan,nan,nan,nan
86,1.075,3.670273253e-28,6.563322731e-28,nan,nan,nan,nan
87,1.0875,4.900896265e-28,8.456588904e-28,nan,nan,nan,nan
88,1.1,5.931838861e-28,1.009741959e-27,nan,nan,nan,nan
89,1.1125,7.099353000e-28,1.186446801e-27,nan,nan,nan,nan
90,1.125,8.803292556e-28,1.337908095e-27,nan,nan,nan,nan
91,1.1375,1.025479662e-27,1.451504066e-27,nan,nan,nan,nan
92,1.15,1.101210309e-27,1.539856487e-27,nan,nan,nan,nan
93,1.1625,1.164319181e-27,1.640830683e-27,nan,nan,nan,nan
94,1.175,1.227428054e-27,1.590343585e-27,nan,nan,nan,nan
95,1.1875,1.277915152e-27,1.666074232e-27,nan,nan,nan,nan
96,1.2,1.290536926e-27,1.691317781e-27,nan,nan,nan,nan
97,1.2125,1.287490823e-27,1.792291977e-27,nan,nan,nan,nan
98,1.225,1.413708568e-27,1.918509721e-27,nan,nan,nan,nan
99,1.2375,1.438952117e-27,1.943753270e-27,nan,nan,nan,nan
100,1.25,1.476817440e-27,1.994240368e-27,nan,nan,nan,nan
101,1.2625,1.552548087e-27,2.120458113e-27,nan,nan,nan,nan
102,1.275,1.628278734e-27,2.145701662e-27,nan,nan,nan,nan
103,1.2875,1.716631156e-27,2.196188760e-27,nan,nan,nan,nan
104,1.3,1.817605352e-27,2.246675858e-27,nan,nan,nan,nan
105,1.3125,1.767118254e-27,2.322406505e-27,nan,nan,nan,nan
106,1.325,1.720320675e-27,2.473867799e-27,nan,nan,nan,nan
107,1.3375,1.767118254e-27,2.675816191e-27,nan,nan,nan,nan
